,Bird Species,Count,Location,Time Period
0,Javan myna,0,Asian Koel---8 Kent Ridge Drive (Just outside Ventus),0932
1,Olive-backed sunbird,1,Asian Koel---8 Kent Ridge Drive (Just outside Ventus),0932
2,Black-naped oriole,2,Asian Koel---8 Kent Ridge Drive (Just outside Ventus),0932
3,Rock pigeon,0,Asian Koel---8 Kent Ridge Drive (Just outside Ventus),0932
4,Yellow-vented bulbul,0,Asian Koel---8 Kent Ridge Drive (Just outside Ventus),0932
5,Javan myna,0,Asian Koel---11 Arts Link (Outside AS5 facing CELC),1005
6,Olive-backed sunbird,1,Asian Koel---11 Arts Link (Outside AS5 facing CELC),1005
7,Black-naped oriole,0,Asian Koel---11 Arts Link (Outside AS5 facing CELC),1005
8,Rock pigeon,0,Asian Koel---11 Arts Link (Outside AS5 facing CELC),1005
9,Yellow-vented bulbul,0,Asian Koel---11 Arts Link (Outside AS5 facing CELC),1005
10,Javan myna,0,"Asian Koel---15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",1035
11,Olive-backed sunbird,1,"Asian Koel---15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",1035
12,Black-naped oriole,1,"Asian Koel---15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",1035
13,Rock pigeon,0,"Asian Koel---15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",1035
14,Yellow-vented bulbul,3,"Asian Koel---15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",1035
15,Javan myna,3,Asian Koel---3 Research Link (End of D1 Bus terminal),1055
16,Olive-backed sunbird,2,Asian Koel---3 Research Link (End of D1 Bus terminal),1055
17,Black-naped oriole,0,Asian Koel---3 Research Link (End of D1 Bus terminal),1055
18,Rock pigeon,22,Asian Koel---3 Research Link (End of D1 Bus terminal),1055
19,Yellow-vented bulbul,5,Asian Koel---3 Research Link (End of D1 Bus terminal),1055
20,Javan myna,7,Spotted Dove---NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,0925
21,Olive-backed sunbird,2,Spotted Dove---NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,0925
22,Black-naped oriole,0,Spotted Dove---NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,0925
23,Rock pigeon,2,Spotted Dove---NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,0925
24,Yellow-vented bulbul,1,Spotted Dove---NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,0925
25,Javan myna,0,Spotted Dove---LKCNM,0925
26,Olive-backed sunbird,0,Spotted Dove---LKCNM,0925
27,Black-naped oriole,0,Spotted Dove---LKCNM,0925
28,Rock pigeon,0,Spotted Dove---LKCNM,0925
29,Yellow-vented bulbul,1,Spotted Dove---LKCNM,0925
30,Javan myna,1,Spotted Dove---Town Green (Between Fine Food and Food Clique),0944
31,Olive-backed sunbird,0,Spotted Dove---Town Green (Between Fine Food and Food Clique),0944
32,Black-naped oriole,0,Spotted Dove---Town Green (Between Fine Food and Food Clique),0944
33,Rock pigeon,0,Spotted Dove---Town Green (Between Fine Food and Food Clique),0944
34,Yellow-vented bulbul,2,Spotted Dove---Town Green (Between Fine Food and Food Clique),0944
35,Javan myna,4,"Spotted Dove---11 Lower Kent Ridge Road,",0949
36,Olive-backed sunbird,10,"Spotted Dove---11 Lower Kent Ridge Road,",0949
37,Black-naped oriole,0,"Spotted Dove---11 Lower Kent Ridge Road,",0949
38,Rock pigeon,0,"Spotted Dove---11 Lower Kent Ridge Road,",0949
39,Yellow-vented bulbul,0,"Spotted Dove---11 Lower Kent Ridge Road,",0949
40,Javan myna,6,Spotted Dove---Town Green (Near UTR),1000
41,Olive-backed sunbird,0,Spotted Dove---Town Green (Near UTR),1000
42,Black-naped oriole,0,Spotted Dove---Town Green (Near UTR),1000
43,Rock pigeon,0,Spotted Dove---Town Green (Near UTR),1000
44,Yellow-vented bulbul,1,Spotted Dove---Town Green (Near UTR),1000
45,Javan myna,2,Spotted Dove---Town Green (Near Starbucks),1011
46,Olive-backed sunbird,0,Spotted Dove---Town Green (Near Starbucks),1011
47,Black-naped oriole,0,Spotted Dove---Town Green (Near Starbucks),1011
48,Rock pigeon,0,Spotted Dove---Town Green (Near Starbucks),1011
49,Yellow-vented bulbul,1,Spotted Dove---Town Green (Near Starbucks),1011
50,Javan myna,0,Spotted Dove---31 Prince George's Park,1021
51,Olive-backed sunbird,4,Spotted Dove---31 Prince George's Park,1021
52,Black-naped oriole,0,Spotted Dove---31 Prince George's Park,1021
53,Rock pigeon,0,Spotted Dove---31 Prince George's Park,1021
54,Yellow-vented bulbul,0,Spotted Dove---31 Prince George's Park,1021
55,Javan myna,5,Spotted Dove---King Edward VII Hall,1047
56,Olive-backed sunbird,3,Spotted Dove---King Edward VII Hall,1047
57,Black-naped oriole,0,Spotted Dove---King Edward VII Hall,1047
58,Rock pigeon,2,Spotted Dove---King Edward VII Hall,1047
59,Yellow-vented bulbul,3,Spotted Dove---King Edward VII Hall,1047
60,Javan myna,0,Spotted Dove---Kent Ridge Road,1123
61,Olive-backed sunbird,1,Spotted Dove---Kent Ridge Road,1123
62,Black-naped oriole,0,Spotted Dove---Kent Ridge Road,1123
63,Rock pigeon,0,Spotted Dove---Kent Ridge Road,1123
64,Yellow-vented bulbul,2,Spotted Dove---Kent Ridge Road,1123
65,Javan myna,3,Spotted Dove---Ridge View Residential College,0933
66,Olive-backed sunbird,0,Spotted Dove---Ridge View Residential College,0933
67,Black-naped oriole,0,Spotted Dove---Ridge View Residential College,0933
68,Rock pigeon,0,Spotted Dove---Ridge View Residential College,0933
69,Yellow-vented bulbul,0,Spotted Dove---Ridge View Residential College,0933
70,Javan myna,2,Spotted Dove---Behind ERC,1022
71,Olive-backed sunbird,0,Spotted Dove---Behind ERC,1022
72,Black-naped oriole,0,Spotted Dove---Behind ERC,1022
73,Rock pigeon,0,Spotted Dove---Behind ERC,1022
74,Yellow-vented bulbul,0,Spotted Dove---Behind ERC,1022
75,Javan myna,2,Spotted Dove---Cinnamon College,1033
76,Olive-backed sunbird,0,Spotted Dove---Cinnamon College,1033
77,Black-naped oriole,0,Spotted Dove---Cinnamon College,1033
78,Rock pigeon,0,Spotted Dove---Cinnamon College,1033
79,Yellow-vented bulbul,2,Spotted Dove---Cinnamon College,1033
80,Javan myna,11,Spotted Dove---Engineering Drive 2,1039
81,Olive-backed sunbird,0,Spotted Dove---Engineering Drive 2,1039
82,Black-naped oriole,0,Spotted Dove---Engineering Drive 2,1039
83,Rock pigeon,1,Spotted Dove---Engineering Drive 2,1039
84,Yellow-vented bulbul,0,Spotted Dove---Engineering Drive 2,1039
85,Javan myna,0,Spotted Dove---CAPT,1045
