,Bird Species,Distance Bin,Time,Location Hash,Latitude,Longitude,Time Period,Group Name,Location,Habitat Type,Remarks
0,Black-naped oriole,2,0935,8b577534acf524e9fac700ce1bb8753a,1.29587,103.770656,0932,Asian Koel,8 Kent Ridge Drive (Just outside Ventus),Urban,
1,Black-naped oriole,3,0940,8b577534acf524e9fac700ce1bb8753a,1.29587,103.770656,0932,Asian Koel,8 Kent Ridge Drive (Just outside Ventus),Urban,
2,Black-naped oriole,,0941,8b577534acf524e9fac700ce1bb8753a,1.29587,103.770656,0932,Asian Koel,8 Kent Ridge Drive (Just outside Ventus),Urban,
3,Olive-backed sunbird,2,0936,8b577534acf524e9fac700ce1bb8753a,1.29587,103.770656,0932,Asian Koel,8 Kent Ridge Drive (Just outside Ventus),Urban,
4,Olive-backed sunbird,2,1007,bf8575577c1f6d925e9b5aa22dbf4d9d,1.295547,103.77208,1005,Asian Koel,11 Arts Link (Outside AS5 facing CELC),Urban,
5,Asian koel,4,1009,bf8575577c1f6d925e9b5aa22dbf4d9d,1.295547,103.77208,1005,Asian Koel,11 Arts Link (Outside AS5 facing CELC),Urban,Female
6,Swiftlet,,1010,bf8575577c1f6d925e9b5aa22dbf4d9d,1.295547,103.77208,1005,Asian Koel,11 Arts Link (Outside AS5 facing CELC),Urban,
7,Yellow-vented bulbul,1,1036,e454df284ef8c7b7afc4853b919fa478,1.292586,103.773483,1035,Asian Koel,"15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",Urban,
8,Yellow-vented bulbul,1,1036,e454df284ef8c7b7afc4853b919fa478,1.292586,103.773483,1035,Asian Koel,"15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",Urban,
9,Yellow-vented bulbul,2,1042,e454df284ef8c7b7afc4853b919fa478,1.292586,103.773483,1035,Asian Koel,"15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",Urban,
10,Olive-backed sunbird,1,1038,e454df284ef8c7b7afc4853b919fa478,1.292586,103.773483,1035,Asian Koel,"15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",Urban,
11,Black-naped oriole,2,1044,e454df284ef8c7b7afc4853b919fa478,1.292586,103.773483,1035,Asian Koel,"15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",Urban,
12,Swiftlet,,1039,e454df284ef8c7b7afc4853b919fa478,1.292586,103.773483,1035,Asian Koel,"15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",Urban,Could not identify
