Bird Species,Distance Bin,Date,Time,Coordinates,Location,Habitat Type,Time Period,Group Name,Remarks
Black-naped Oriole,2,27th Feb (Tuesday),09 35,Latitude: 1.29587 | Longitude: 103.770656,8 Kent Ridge Drive (Just outside Ventus),Urban,09 32 - 09 42,Asian Koel,
Black-naped Oriole,3,27th Feb (Tuesday),09 40,Latitude: 1.29587 | Longitude: 103.770656,8 Kent Ridge Drive (Just outside Ventus),Urban,09 32 - 09 42,Asian Koel,
Black-naped Oriole,Heard,27th Feb (Tuesday),09 41,Latitude: 1.29587 | Longitude: 103.770656,8 Kent Ridge Drive (Just outside Ventus),Urban,09 32 - 09 42,Asian Koel,
Olive-backed Sunbird,2,27th Feb (Tuesday),09 36,Latitude: 1.29587 | Longitude: 103.770656,8 Kent Ridge Drive (Just outside Ventus),Urban,09 32 - 09 42,Asian Koel,
Olive-backed Sunbird,2,27th Feb (Tuesday),10 07,Latitude: 1.295547 | Longitude: 103.77208,11 Arts Link (Outside AS5 facing CELC),Urban,10 05 - 10 15,Asian Koel,
Asian Koel,4,27th Feb (Tuesday),10 09,Latitude: 1.295547 | Longitude: 103.77208,11 Arts Link (Outside AS5 facing CELC),Urban,10 05 - 10 15,Asian Koel,Female
Swiftlet,Flyby (4),27th Feb (Tuesday),10 10,Latitude: 1.295547 | Longitude: 103.77208,11 Arts Link (Outside AS5 facing CELC),Urban,10 05 - 10 15,Asian Koel,
Yellow-vented Bulbul,1,27th Feb (Tuesday),10 36,Latitude: 1.292586 | Longitude: 103.773483,"15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",Urban,10 35 - 10 45,Asian Koel,
Yellow-vented Bulbul,1,27th Feb (Tuesday),10 36,Latitude: 1.292586 | Longitude: 103.773483,"15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",Urban,10 35 - 10 45,Asian Koel,
Yellow-vented Bulbul,2,27th Feb (Tuesday),10 42,Latitude: 1.292586 | Longitude: 103.773483,"15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",Urban,10 35 - 10 45,Asian Koel,
Olive-backed Sunbird,1,27th Feb (Tuesday),10 38,Latitude: 1.292586 | Longitude: 103.773483,"15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",Urban,10 35 - 10 45,Asian Koel,
Black-naped Oriole,2,27th Feb (Tuesday),10 44,Latitude: 1.292586 | Longitude: 103.773483,"15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",Urban,10 35 - 10 45,Asian Koel,
Swiftlet,Flyby (4),27th Feb (Tuesday),10 39,Latitude: 1.292586 | Longitude: 103.773483,"15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",Urban,10 35 - 10 45,Asian Koel,Could not identify
Swiftlet,Flyby (4),27th Feb (Tuesday),10 39,Latitude: 1.292586 | Longitude: 103.773483,"15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",Urban,10 35 - 10 45,Asian Koel,Could not identify
Swallow,Flyby (4),27th Feb (Tuesday),10 40,Latitude: 1.292586 | Longitude: 103.773483,"15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",Urban,10 35 - 10 45,Asian Koel,Could not identify
Collared Kingfisher,2,27th Feb (Tuesday),10 35,Latitude: 1.292586 | Longitude: 103.773483,"15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",Urban,10 35 - 10 45,Asian Koel,
Javan Myna,3,27th Feb (Tuesday),10 55,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Javan Myna,3,27th Feb (Tuesday),10 55,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Javan Myna,2,27th Feb (Tuesday),11 00,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Yellow-Vented Bulbul,1,27th Feb (Tuesday),10 56,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Yellow-Vented Bulbul,1,27th Feb (Tuesday),10 57,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Yellow-Vented Bulbul,2,27th Feb (Tuesday),11 01,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Yellow-Vented Bulbul,1,27th Feb (Tuesday),11 02,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Yellow-Vented Bulbul,1,27th Feb (Tuesday),11 04,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,1,27th Feb (Tuesday),10 56,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,1,27th Feb (Tuesday),10 58,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,2,27th Feb (Tuesday),10 59,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,4,27th Feb (Tuesday),11 04,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,4,27th Feb (Tuesday),11 04,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,4,27th Feb (Tuesday),11 04,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,4,27th Feb (Tuesday),11 04,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,4,27th Feb (Tuesday),11 04,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,4,27th Feb (Tuesday),11 04,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,4,27th Feb (Tuesday),11 04,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,4,27th Feb (Tuesday),11 04,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,4,27th Feb (Tuesday),11 04,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,4,27th Feb (Tuesday),11 04,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,4,27th Feb (Tuesday),11 04,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,4,27th Feb (Tuesday),11 04,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,4,27th Feb (Tuesday),11 04,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,4,27th Feb (Tuesday),11 04,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,4,27th Feb (Tuesday),11 04,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,4,27th Feb (Tuesday),11 04,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,4,27th Feb (Tuesday),11 04,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,4,27th Feb (Tuesday),11 04,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Rock Pigeon,1,27th Feb (Tuesday),11 05,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,"x7 of them (4 were greyish, 3 were darker brown/black in colour, unsure if same species/diff gender)"
Olive-backed Sunbird,2,27th Feb (Tuesday),10 57,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Olive-backed Sunbird,1,27th Feb (Tuesday),11 02,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Spotted Pigeon,2,27th Feb (Tuesday),11 03,Latitude: 1.294425 | Longitude: 103.774844,3 Research Link (End of D1 Bus terminal),Urban,10 55 - 11 05,Asian Koel,
Swiftlets,4,27th Feb (Tuesday),11 29,Latitude: 1.297395 | Longitude: 103.774893,12A Kent Ridge Road (200m North-East of Centre for Development of Teaching and Learning),Forest,11 26 - 11 36,Asian Koel,x2 of them (could not identify)
Cinnamon-headed Green Pigeon,3,27th Feb (Tuesday),11 26,Latitude: 1.297395 | Longitude: 103.774893,12A Kent Ridge Road (200m North-East of Centre for Development of Teaching and Learning),Forest,11 26 - 11 36,Asian Koel,x4 of them
Pink-necked Green Pigeon,2,27th Feb (Tuesday),11 34,Latitude: 1.297395 | Longitude: 103.774893,12A Kent Ridge Road (200m North-East of Centre for Development of Teaching and Learning),Forest,11 26 - 11 36,Asian Koel,Male
Rocked Pigeon,2,27th Feb,9:25,"1°17'40""N 103°46'53""E",NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,09:25-09:35,Spotted Dove,
Rocked Pigeon,2,27th Feb,9:25,"1°17'40""N 103°46'53""E",NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,09:25-09:35,Spotted Dove,
Javan Myna,2,27th Feb,9:25,"1°17'40""N 103°46'53""E",NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,09:25-09:35,Spotted Dove,
Javan Myna,2,27th Feb,9:25,"1°17'40""N 103°46'53""E",NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,09:25-09:35,Spotted Dove,
Javan Myna,2,27th Feb,9:25,"1°17'40""N 103°46'53""E",NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,09:25-09:35,Spotted Dove,
Javan Myna,2,27th Feb,9:25,"1°17'40""N 103°46'53""E",NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,09:25-09:35,Spotted Dove,
Javan Myna,2,27th Feb,9:28,"1°17'40""N 103°46'53""E",NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,09:25-09:35,Spotted Dove,
Olive-backed Sunbird,1,27th Feb,9:30,"1°17'40""N 103°46'53""E",NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,09:25-09:35,Spotted Dove,
Javan Myna,2,27th Feb,9:30,"1°17'40""N 103°46'53""E",NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,09:25-09:35,Spotted Dove,
Javan Myna,3,27th Feb,9:31,"1°17'40""N 103°46'53""E",NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,09:25-09:35,Spotted Dove,
Olive-backed Sunbird,2,27th Feb,9:34,"1°17'40""N 103°46'53""E",NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,09:25-09:35,Spotted Dove,
Yellow-vented Bulbul,1,27th Feb,9:35,"1°17'40""N 103°46'53""E",NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,09:25-09:35,Spotted Dove,
Olive-backed Sunbird,Heard,27th Feb,9:28,"1°17'40""N 103°46'53""E",NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,09:25-09:35,Spotted Dove,
Yellow-vented Bulbul,2,27th Feb,9:25,"1°18'9""N 103°46'17""E",LKCNM,Urban,09:25-09:35,Spotted Dove,
Black-naped Oriole,Heard,27th Feb,9:32,"1°18'9""N 103°46'17""E",LKCNM,Urban,09:25-09:35,Spotted Dove,
Yellow-vented Bulbul,1,27th Feb,9:44,"1°18'14""N 103°46'25""E",Town Green (Between Fine Food and Food Clique),Urban,9:44-9:54,Spotted Dove,Town Green data points were very close to one another - there might be potential recounting of bird species.
Black-naped Oriole,Heard,27th Feb,9:45,"1°18'14""N 103°46'25""E",Town Green (Between Fine Food and Food Clique),Urban,9:44-9:54,Spotted Dove,Town Green data points were very close to one another - there might be potential recounting of bird species.
Javan Myna,2,27th Feb,9:47,"1°18'14""N 103°46'25""E",Town Green (Between Fine Food and Food Clique),Urban,9:44-9:54,Spotted Dove,Town Green data points were very close to one another - there might be potential recounting of bird species.
Olive-backed Sunbird,Heard,27th Feb,9:49,"1°18'14""N 103°46'25""E",Town Green (Between Fine Food and Food Clique),Urban,9:44-9:54,Spotted Dove,Town Green data points were very close to one another - there might be potential recounting of bird species.
Yellow-vented Bulbul,2,27th Feb,9:52,"1°18'14""N 103°46'25""E",Town Green (Between Fine Food and Food Clique),Urban,9:44-9:54,Spotted Dove,Town Green data points were very close to one another - there might be potential recounting of bird species.
Olive-backed Sunbird,1,27th Feb,9:49,"1°17'49""N 103°46'55""E","11 Lower Kent Ridge Road,",Urban,09:49-09:59,Spotted Dove,
Olive-backed Sunbird,1,27th Feb,9:49,"1°17'49""N 103°46'55""E","11 Lower Kent Ridge Road,",Urban,09:49-09:59,Spotted Dove,
Olive-backed Sunbird,2,27th Feb,9:49,"1°17'49""N 103°46'55""E","11 Lower Kent Ridge Road,",Urban,09:49-09:59,Spotted Dove,
